# KT DF
0.9788 0.2187
0.9467 0.2443
0.9433 0.2416
0.9217 0.2510
0.9365 0.2628
0.9365 0.2628
0.9103 0.2965
0.8820 0.3038
0.8611 0.3152
0.8236 0.4085
0.7729 0.3722
0.7685 0.3335
0.8292 0.2625
0.7191 0.3643
0.6493 0.5279
0.5971 0.6554
0.3539 0.9220
0.3504 1.0000
