# KT DF
1.0000 0.1583
1.0000 0.1583
1.0000 0.1601
1.0000 0.1601
1.0000 0.1602
1.0000 0.1602
1.0000 0.1595
1.0250 0.1800
1.0000 0.2096
1.0000 0.3090
1.0000 0.2346
0.9487 0.3520
0.9487 0.3277
0.8750 0.5567
0.8493 0.4559
0.8468 0.3679
0.7705 0.6695
0.5673 0.9061
