# KT DF
0.9168 0.1995
0.9532 0.1774
0.9101 0.1934
0.9021 0.2417
0.9021 0.2417
0.8971 0.2430
0.9016 0.1886
0.8570 0.2050
0.9154 0.2587
0.9049 0.3740
0.8938 0.3608
0.9064 0.3146
0.8551 0.4576
0.5995 0.6348
0.6108 0.5698
0.3756 0.8585
0.4108 0.9939
