# KT DF
0.9102 0.2565
0.9102 0.2577
0.9097 0.2605
0.9059 0.2619
0.9112 0.2662
0.9024 0.2668
0.8974 0.2593
0.8890 0.2828
0.8849 0.2828
0.8677 0.2893
0.8607 0.3092
0.8279 0.3665
0.7976 0.4164
0.7554 0.4354
0.6909 0.4915
0.6215 0.6102
