# KT DF
0.9248 0.1977
0.9256 0.1448
0.9232 0.1832
0.9242 0.1904
0.9171 0.2377
0.9148 0.2383
0.9123 0.2389
0.8970 0.1895
0.8818 0.1992
0.8796 0.2693
0.8603 0.3934
0.8319 0.3876
0.8171 0.3490
0.7639 0.5122
0.6892 0.5521
0.6141 0.5667
0.4854 0.6643
0.3730 1.0948
