# KT DF
0.9930 0.1189
0.9930 0.1189
0.9930 0.1189
0.9920 0.1694
0.9910 0.1696
0.9910 0.2705
0.9930 0.2699
0.9900 0.2707
0.9890 0.3191
0.9840 0.3258
0.9790 0.3786
0.9730 0.4324
0.9670 0.2799
0.9590 0.3396
0.9400 0.4027
0.9030 0.5298
0.8270 0.7691
0.6730 0.7154
