# KT DF
0.7883 0.2271
0.7879 0.2278
0.7867 0.2299
0.7847 0.2333
0.7817 0.2383
0.7778 0.2451
0.7728 0.2538
0.7665 0.2649
0.7587 0.2788
0.7489 0.2961
0.7366 0.3178
0.7207 0.3452
0.6998 0.3800
0.6715 0.4256
0.6324 0.4878
0.5764 0.5774
0.4935 0.7152
