# KT DF
0.7914 0.1475
0.7910 0.1479
0.7899 0.1493
0.7880 0.1515
0.7853 0.1549
0.7817 0.1594
0.7771 0.1652
0.7713 0.1727
0.7641 0.1821
0.7552 0.1939
0.7441 0.2089
0.7299 0.2280
0.7114 0.2528
0.6867 0.2859
0.6526 0.3324
0.6034 0.4029
0.5280 0.5230
