# KT DF
0.7873 0.2256
0.7869 0.2263
0.7856 0.2283
0.7837 0.2318
0.7807 0.2368
0.7769 0.2436
0.7719 0.2523
0.7656 0.2633
0.7577 0.2771
0.7479 0.2944
0.7354 0.3160
0.7196 0.3433
0.6991 0.3784
0.6719 0.4248
0.6348 0.4886
0.5824 0.5804
0.5045 0.7200
