# KT DF
0.7801 0.1697
0.7796 0.1702
0.7783 0.1715
0.7761 0.1739
0.7728 0.1773
0.7685 0.1818
0.7629 0.1876
0.7558 0.1950
0.7470 0.2042
0.7360 0.2156
0.7222 0.2299
0.7047 0.2478
0.6823 0.2709
0.6530 0.3013
0.6137 0.3435
0.5593 0.4060
0.4808 0.5084
