# KT DF
0.7847 0.2093
0.7842 0.2099
0.7829 0.2117
0.7807 0.2148
0.7775 0.2192
0.7733 0.2252
0.7679 0.2330
0.7611 0.2427
0.7526 0.2550
0.7419 0.2703
0.7283 0.2894
0.7110 0.3135
0.6883 0.3443
0.6580 0.3851
0.6167 0.4414
0.5586 0.5247
0.4746 0.6589
