# KT DF
0.7517 0.1468
0.7512 0.1473
0.7497 0.1485
0.7471 0.1506
0.7433 0.1537
0.7383 0.1578
0.7319 0.1631
0.7237 0.1699
0.7137 0.1783
0.7011 0.1889
0.6855 0.2022
0.6657 0.2190
0.6404 0.2408
0.6075 0.2701
0.5637 0.3116
0.5037 0.3751
0.4186 0.4850
