# KT DF
0.7447 0.2974
0.7440 0.2982
0.7423 0.3007
0.7394 0.3049
0.7351 0.3110
0.7295 0.3192
0.7223 0.3297
0.7133 0.3430
0.7019 0.3595
0.6876 0.3798
0.6697 0.4051
0.6470 0.4365
0.6178 0.4762
0.5802 0.5279
0.5311 0.5972
0.4671 0.6935
0.3852 0.8276
