# KT DF
0.7874 0.2263
0.7870 0.2269
0.7858 0.2290
0.7837 0.2324
0.7808 0.2375
0.7770 0.2443
0.7720 0.2530
0.7657 0.2641
0.7579 0.2779
0.7480 0.2952
0.7355 0.3169
0.7197 0.3442
0.6992 0.3795
0.6720 0.4260
0.6349 0.4898
0.5825 0.5818
0.5046 0.7215
