# KT DF
0.8364 0.2220
0.8360 0.2226
0.8350 0.2247
0.8332 0.2281
0.8307 0.2330
0.8273 0.2397
0.8229 0.2483
0.8174 0.2593
0.8105 0.2731
0.8017 0.2903
0.7904 0.3118
0.7757 0.3389
0.7558 0.3734
0.7282 0.4186
0.6891 0.4803
0.6316 0.5692
0.5441 0.7066
