# KT DF
0.7772 0.1726
0.7767 0.1731
0.7753 0.1745
0.7731 0.1769
0.7698 0.1804
0.7654 0.1851
0.7597 0.1911
0.7526 0.1988
0.7437 0.2083
0.7325 0.2201
0.7185 0.2350
0.7008 0.2536
0.6781 0.2776
0.6482 0.3094
0.6082 0.3536
0.5526 0.4195
0.4724 0.5285
