# KT DF
0.7712 0.3196
0.7707 0.3205
0.7691 0.3231
0.7666 0.3275
0.7628 0.3339
0.7578 0.3424
0.7513 0.3533
0.7431 0.3670
0.7329 0.3841
0.7200 0.4050
0.7037 0.4309
0.6828 0.4629
0.6558 0.5031
0.6204 0.5546
0.5736 0.6227
0.5113 0.7152
0.4290 0.8406
