# KT DF
0.7907 0.1472
0.7904 0.1477
0.7893 0.1490
0.7874 0.1513
0.7846 0.1546
0.7811 0.1591
0.7765 0.1650
0.7707 0.1724
0.7636 0.1818
0.7547 0.1937
0.7437 0.2087
0.7295 0.2277
0.7112 0.2525
0.6867 0.2856
0.6529 0.3321
0.6042 0.4027
0.5295 0.5229
