# KT DF
0.7859 0.1187
0.7855 0.1190
0.7843 0.1200
0.7824 0.1218
0.7795 0.1242
0.7756 0.1275
0.7706 0.1319
0.7644 0.1373
0.7567 0.1442
0.7470 0.1528
0.7350 0.1637
0.7198 0.1775
0.7003 0.1954
0.6747 0.2195
0.6399 0.2534
0.5907 0.3051
0.5162 0.3943
