# KT DF
0.7812 0.3634
0.7807 0.3644
0.7793 0.3674
0.7771 0.3726
0.7737 0.3800
0.7692 0.3898
0.7634 0.4025
0.7561 0.4183
0.7468 0.4379
0.7351 0.4619
0.7203 0.4914
0.7013 0.5277
0.6766 0.5729
0.6441 0.6297
0.6004 0.7022
0.5408 0.7947
0.4584 0.9051
