# KT DF
0.7737 0.3171
0.7732 0.3180
0.7716 0.3205
0.7691 0.3249
0.7654 0.3312
0.7604 0.3396
0.7540 0.3504
0.7460 0.3639
0.7359 0.3807
0.7232 0.4014
0.7071 0.4270
0.6865 0.4586
0.6599 0.4983
0.6251 0.5492
0.5789 0.6164
0.5172 0.7080
0.4353 0.8329
