# KT DF
0.7870 0.2289
0.7865 0.2295
0.7853 0.2316
0.7833 0.2351
0.7803 0.2401
0.7763 0.2469
0.7711 0.2556
0.7647 0.2668
0.7566 0.2807
0.7466 0.2982
0.7340 0.3200
0.7178 0.3474
0.6964 0.3824
0.6677 0.4282
0.6280 0.4905
0.5716 0.5803
0.4886 0.7180
