# KT DF
0.7889 0.2273
0.7885 0.2280
0.7873 0.2300
0.7853 0.2335
0.7823 0.2385
0.7784 0.2453
0.7734 0.2540
0.7670 0.2651
0.7592 0.2790
0.7494 0.2963
0.7370 0.3180
0.7210 0.3453
0.7000 0.3802
0.6716 0.4258
0.6322 0.4881
0.5760 0.5778
0.4929 0.7157
