# KT DF
0.7795 0.1694
0.7791 0.1698
0.7777 0.1712
0.7755 0.1735
0.7722 0.1769
0.7679 0.1814
0.7623 0.1873
0.7553 0.1946
0.7465 0.2038
0.7355 0.2152
0.7218 0.2294
0.7044 0.2473
0.6821 0.2703
0.6530 0.3007
0.6139 0.3429
0.5598 0.4052
0.4815 0.5075
