# KT DF
0.7882 0.2271
0.7878 0.2277
0.7865 0.2298
0.7846 0.2333
0.7816 0.2382
0.7776 0.2449
0.7725 0.2535
0.7661 0.2644
0.7579 0.2780
0.7477 0.2950
0.7350 0.3164
0.7190 0.3436
0.6985 0.3789
0.6719 0.4259
0.6360 0.4907
0.5859 0.5842
0.5112 0.7251
