# KT DF
0.7875 0.2264
0.7872 0.2271
0.7859 0.2292
0.7840 0.2327
0.7811 0.2377
0.7772 0.2445
0.7722 0.2532
0.7659 0.2643
0.7581 0.2782
0.7482 0.2955
0.7359 0.3172
0.7201 0.3446
0.6996 0.3798
0.6725 0.4264
0.6355 0.4903
0.5832 0.5824
0.5058 0.7222
