# KT DF
0.7788 0.3498
0.7782 0.3508
0.7767 0.3536
0.7743 0.3585
0.7707 0.3654
0.7658 0.3748
0.7596 0.3867
0.7517 0.4017
0.7418 0.4203
0.7293 0.4432
0.7134 0.4712
0.6928 0.5057
0.6658 0.5488
0.6302 0.6033
0.5827 0.6740
0.5191 0.7673
0.4354 0.8853
