# KT DF
0.7512 0.1465
0.7507 0.1470
0.7491 0.1482
0.7466 0.1503
0.7428 0.1533
0.7378 0.1574
0.7314 0.1628
0.7233 0.1695
0.7133 0.1780
0.7008 0.1885
0.6852 0.2018
0.6655 0.2186
0.6403 0.2404
0.6075 0.2696
0.5639 0.3110
0.5041 0.3744
0.4193 0.4840
