# KT DF
0.7873 0.2262
0.7869 0.2269
0.7857 0.2289
0.7837 0.2324
0.7809 0.2375
0.7770 0.2443
0.7720 0.2531
0.7658 0.2641
0.7579 0.2780
0.7480 0.2952
0.7355 0.3169
0.7197 0.3443
0.6993 0.3796
0.6724 0.4263
0.6355 0.4903
0.5832 0.5824
0.5050 0.7217
