# KT DF
0.7861 0.2994
0.7856 0.3003
0.7843 0.3028
0.7821 0.3072
0.7790 0.3135
0.7747 0.3220
0.7693 0.3330
0.7624 0.3468
0.7539 0.3640
0.7431 0.3853
0.7294 0.4116
0.7116 0.4444
0.6882 0.4855
0.6566 0.5383
0.6133 0.6079
0.5530 0.7031
0.4686 0.8337
