# KT DF
0.7693 0.2226
0.7687 0.2231
0.7673 0.2249
0.7647 0.2279
0.7610 0.2322
0.7560 0.2380
0.7496 0.2455
0.7415 0.2548
0.7314 0.2665
0.7188 0.2809
0.7029 0.2988
0.6828 0.3211
0.6571 0.3497
0.6236 0.3871
0.5794 0.4383
0.5196 0.5128
0.4373 0.6301
