# KT DF
0.7869 0.2258
0.7864 0.2264
0.7852 0.2284
0.7831 0.2318
0.7800 0.2367
0.7759 0.2433
0.7707 0.2517
0.7640 0.2624
0.7556 0.2758
0.7450 0.2924
0.7316 0.3132
0.7142 0.3392
0.6915 0.3725
0.6611 0.4165
0.6197 0.4773
0.5619 0.5665
0.4795 0.7069
