# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.9455E+02 1.3533E+03 1.0638E+03 1.5957E+02 7.4530E+02
0.2800 4.0000 3.7200 1.3482E+03 1.9402E+02 1.3482E+03 1.0592E+03 1.5888E+02 7.4116E+02
0.2800 4.0000 3.7200 1.3328E+03 1.9244E+02 1.3328E+03 1.0453E+03 1.5680E+02 7.2878E+02
0.2800 4.0000 3.7200 1.3072E+03 1.8987E+02 1.3072E+03 1.0224E+03 1.5336E+02 7.0831E+02
0.2800 4.0000 3.7200 1.2717E+03 1.8633E+02 1.2717E+03 9.9061E+02 1.4859E+02 6.8001E+02
0.2800 4.0000 3.7200 1.2265E+03 1.8186E+02 1.2265E+03 9.5021E+02 1.4253E+02 6.4421E+02
0.2800 4.0000 3.7200 1.1720E+03 1.7649E+02 1.1720E+03 9.0159E+02 1.3524E+02 6.0138E+02
0.2800 4.0000 3.7200 1.1086E+03 1.7024E+02 1.1086E+03 8.4520E+02 1.2678E+02 5.5209E+02
0.2800 4.0000 3.7200 1.0367E+03 1.6313E+02 1.0367E+03 7.8152E+02 1.1723E+02 4.9705E+02
0.2800 4.0000 3.7200 9.5694E+02 1.5525E+02 9.5694E+02 7.1110E+02 1.0666E+02 4.3711E+02
0.2800 4.0000 3.7200 8.6990E+02 1.4673E+02 8.6990E+02 6.3450E+02 9.5175E+01 3.7331E+02
0.2800 4.0000 3.7200 7.7623E+02 1.3777E+02 7.7623E+02 5.5240E+02 8.2860E+01 3.0693E+02
0.2800 4.0000 3.7200 6.7666E+02 1.2851E+02 6.7666E+02 4.6567E+02 6.9850E+01 2.3959E+02
0.2800 4.0000 3.7200 5.7194E+02 1.1891E+02 5.7194E+02 3.7553E+02 5.6329E+01 1.7340E+02
0.2800 4.0000 3.7200 4.6286E+02 1.0850E+02 4.6286E+02 2.8388E+02 4.2581E+01 1.1130E+02
0.2800 4.0000 3.7200 3.5027E+02 9.5954E+01 3.5027E+02 1.9371E+02 2.9057E+01 5.7507E+01
0.2800 4.0000 3.7200 2.3500E+02 7.8236E+01 2.3500E+02 1.1012E+02 1.6518E+01 1.8317E+01
