-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9148E+02  1.3476E+03  1.0621E+03  1.5932E+02  8.2100E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9093E+02  1.3425E+03  1.0575E+03  1.5863E+02  8.1675E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.8930E+02  1.3272E+03  1.0439E+03  1.5658E+02  8.0406E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.8663E+02  1.3017E+03  1.0212E+03  1.5318E+02  7.8307E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.8294E+02  1.2664E+03  9.8976E+02  1.4846E+02  7.5400E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.7827E+02  1.2214E+03  9.4982E+02  1.4247E+02  7.1717E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.7265E+02  1.1671E+03  9.0175E+02  1.3526E+02  6.7301E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.6607E+02  1.1039E+03  8.4600E+02  1.2690E+02  6.2204E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.5859E+02  1.0323E+03  7.8308E+02  1.1746E+02  5.6489E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.5027E+02  9.5292E+02  7.1352E+02  1.0703E+02  5.0233E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.4122E+02  8.6624E+02  6.3792E+02  9.5687E+01  4.3526E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.3160E+02  7.7297E+02  5.5694E+02  8.3540E+01  3.6481E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.2157E+02  6.7382E+02  4.7140E+02  7.0709E+01  2.9235E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.1113E+02  5.6953E+02  3.8240E+02  5.7360E+01  2.1968E+02
     0.2800     4.0000     3.7200  4.6092E+02  1.0000E+02  4.6092E+02  2.9154E+02  4.3731E+01  1.4930E+02
     0.2800     4.0000     3.7200  3.4879E+02  8.7279E+01  3.4879E+02  2.0132E+02  3.0198E+01  8.4962E+01
     0.2800     4.0000     3.7200  2.3401E+02  7.0679E+01  2.3401E+02  1.1605E+02  1.7407E+01  3.2885E+01
----------------------------------------------------------------------------------------------------------
