-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9047E+02  1.3533E+03  1.0710E+03  1.6065E+02  9.1308E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.8989E+02  1.3482E+03  1.0664E+03  1.5996E+02  9.0871E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.8818E+02  1.3328E+03  1.0528E+03  1.5791E+02  8.9564E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8536E+02  1.3072E+03  1.0301E+03  1.5452E+02  8.7400E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8146E+02  1.2717E+03  9.9868E+02  1.4980E+02  8.4402E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.7652E+02  1.2265E+03  9.5877E+02  1.4381E+02  8.0598E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7056E+02  1.1720E+03  9.1073E+02  1.3661E+02  7.6028E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6359E+02  1.1086E+03  8.5502E+02  1.2825E+02  7.0740E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.5564E+02  1.0367E+03  7.9216E+02  1.1882E+02  6.4793E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.4676E+02  9.5694E+02  7.2269E+02  1.0840E+02  5.8253E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.3702E+02  8.6990E+02  6.4726E+02  9.7088E+01  5.1203E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.2652E+02  7.7623E+02  5.6654E+02  8.4981E+01  4.3736E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.1539E+02  6.7666E+02  4.8136E+02  7.2204E+01  3.5969E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.0367E+02  5.7194E+02  3.9274E+02  5.8911E+01  2.8047E+02
     0.2800     4.0000     3.7200  4.6286E+02  9.1254E+01  4.6286E+02  3.0205E+02  4.5308E+01  2.0166E+02
     0.2800     4.0000     3.7200  3.5027E+02  7.7648E+01  3.5027E+02  2.1135E+02  3.1702E+01  1.2620E+02
     0.2800     4.0000     3.7200  2.3500E+02  6.1535E+01  2.3500E+02  1.2407E+02  1.8611E+01  5.9186E+01
----------------------------------------------------------------------------------------------------------
