# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 2.5779E+02 1.3476E+03 9.8549E+02 1.4782E+02 8.2100E+02
0.2800 4.0000 3.7200 1.3425E+03 2.5722E+02 1.3425E+03 9.8101E+02 1.4715E+02 8.1675E+02
0.2800 4.0000 3.7200 1.3272E+03 2.5551E+02 1.3272E+03 9.6762E+02 1.4514E+02 8.0406E+02
0.2800 4.0000 3.7200 1.3017E+03 2.5265E+02 1.3017E+03 9.4544E+02 1.4182E+02 7.8307E+02
0.2800 4.0000 3.7200 1.2664E+03 2.4866E+02 1.2664E+03 9.1469E+02 1.3720E+02 7.5400E+02
0.2800 4.0000 3.7200 1.2214E+03 2.4354E+02 1.2214E+03 8.7567E+02 1.3135E+02 7.1717E+02
0.2800 4.0000 3.7200 1.1671E+03 2.3729E+02 1.1671E+03 8.2879E+02 1.2432E+02 6.7301E+02
0.2800 4.0000 3.7200 1.1039E+03 2.2991E+02 1.1039E+03 7.7452E+02 1.1618E+02 6.2204E+02
0.2800 4.0000 3.7200 1.0323E+03 2.2139E+02 1.0323E+03 7.1344E+02 1.0702E+02 5.6489E+02
0.2800 4.0000 3.7200 9.5292E+02 2.1169E+02 9.5292E+02 6.4624E+02 9.6935E+01 5.0233E+02
0.2800 4.0000 3.7200 8.6624E+02 2.0075E+02 8.6624E+02 5.7370E+02 8.6055E+01 4.3526E+02
0.2800 4.0000 3.7200 7.7297E+02 1.8847E+02 7.7297E+02 4.9676E+02 7.4514E+01 3.6481E+02
0.2800 4.0000 3.7200 6.7382E+02 1.7465E+02 6.7382E+02 4.1653E+02 6.2480E+01 2.9235E+02
0.2800 4.0000 3.7200 5.6953E+02 1.5896E+02 5.6953E+02 3.3439E+02 5.0158E+01 2.1968E+02
0.2800 4.0000 3.7200 4.6092E+02 1.4078E+02 4.6092E+02 2.5213E+02 3.7819E+01 1.4930E+02
0.2800 4.0000 3.7200 3.4879E+02 1.1893E+02 3.4879E+02 1.7228E+02 2.5842E+01 8.4962E+01
0.2800 4.0000 3.7200 2.3401E+02 9.1066E+01 2.3401E+02 9.8856E+01 1.4828E+01 3.2885E+01
