-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9214E+02  1.3533E+03  1.0676E+03  1.6015E+02  8.2493E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.9158E+02  1.3482E+03  1.0630E+03  1.5946E+02  8.2067E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.8993E+02  1.3328E+03  1.0493E+03  1.5739E+02  8.0791E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8722E+02  1.3072E+03  1.0265E+03  1.5398E+02  7.8681E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8348E+02  1.2717E+03  9.9489E+02  1.4923E+02  7.5758E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.7875E+02  1.2265E+03  9.5472E+02  1.4321E+02  7.2056E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7304E+02  1.1720E+03  9.0638E+02  1.3596E+02  6.7617E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6638E+02  1.1086E+03  8.5032E+02  1.2755E+02  6.2494E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.5880E+02  1.0367E+03  7.8705E+02  1.1806E+02  5.6749E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.5034E+02  9.5694E+02  7.1711E+02  1.0757E+02  5.0461E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.4112E+02  8.6990E+02  6.4110E+02  9.6164E+01  4.3720E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.3129E+02  7.7623E+02  5.5967E+02  8.3950E+01  3.6639E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.2095E+02  6.7666E+02  4.7364E+02  7.1045E+01  2.9356E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.1014E+02  5.7194E+02  3.8409E+02  5.7614E+01  2.2053E+02
     0.2800     4.0000     3.7200  4.6286E+02  9.8562E+01  4.6286E+02  2.9263E+02  4.3894E+01  1.4981E+02
     0.2800     4.0000     3.7200  3.5027E+02  8.5348E+01  3.5027E+02  2.0176E+02  3.0263E+01  8.5187E+01
     0.2800     4.0000     3.7200  2.3500E+02  6.8326E+01  2.3500E+02  1.1582E+02  1.7372E+01  3.2923E+01
----------------------------------------------------------------------------------------------------------
