# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.9479E+02 1.3533E+03 1.0411E+03 1.5616E+02 8.0938E+02
0.2800 4.0000 3.7200 1.3482E+03 1.9430E+02 1.3482E+03 1.0364E+03 1.5547E+02 8.0517E+02
0.2800 4.0000 3.7200 1.3328E+03 1.9283E+02 1.3328E+03 1.0226E+03 1.5339E+02 7.9259E+02
0.2800 4.0000 3.7200 1.3072E+03 1.9039E+02 1.3072E+03 9.9960E+02 1.4994E+02 7.7179E+02
0.2800 4.0000 3.7200 1.2717E+03 1.8701E+02 1.2717E+03 9.6773E+02 1.4516E+02 7.4300E+02
0.2800 4.0000 3.7200 1.2265E+03 1.8272E+02 1.2265E+03 9.2725E+02 1.3909E+02 7.0655E+02
0.2800 4.0000 3.7200 1.1720E+03 1.7755E+02 1.1720E+03 8.7853E+02 1.3178E+02 6.6288E+02
0.2800 4.0000 3.7200 1.1086E+03 1.7153E+02 1.1086E+03 8.2202E+02 1.2330E+02 6.1254E+02
0.2800 4.0000 3.7200 1.0367E+03 1.6468E+02 1.0367E+03 7.5824E+02 1.1374E+02 5.5619E+02
0.2800 4.0000 3.7200 9.5694E+02 1.5705E+02 9.5694E+02 6.8781E+02 1.0317E+02 4.9462E+02
0.2800 4.0000 3.7200 8.6990E+02 1.4865E+02 8.6990E+02 6.1145E+02 9.1717E+01 4.2877E+02
0.2800 4.0000 3.7200 7.7623E+02 1.3948E+02 7.7623E+02 5.3002E+02 7.9502E+01 3.5981E+02
0.2800 4.0000 3.7200 6.7666E+02 1.2946E+02 6.7666E+02 4.4461E+02 6.6691E+01 2.8915E+02
0.2800 4.0000 3.7200 5.7194E+02 1.1835E+02 5.7194E+02 3.5666E+02 5.3500E+01 2.1860E+02
0.2800 4.0000 3.7200 4.6286E+02 1.0563E+02 4.6286E+02 2.6816E+02 4.0224E+01 1.5062E+02
0.2800 4.0000 3.7200 3.5027E+02 9.0239E+01 3.5027E+02 1.8201E+02 2.7301E+01 8.8671E+01
0.2800 4.0000 3.7200 2.3500E+02 7.0195E+01 2.3500E+02 1.0277E+02 1.5415E+01 3.8013E+01
