# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3605E+03 1.9412E+02 1.3605E+03 1.0707E+03 1.6060E+02 8.2564E+02
0.2800 4.0000 3.7200 1.3553E+03 1.9356E+02 1.3553E+03 1.0660E+03 1.5991E+02 8.2136E+02
0.2800 4.0000 3.7200 1.3398E+03 1.9191E+02 1.3398E+03 1.0522E+03 1.5783E+02 8.0855E+02
0.2800 4.0000 3.7200 1.3141E+03 1.8918E+02 1.3141E+03 1.0293E+03 1.5440E+02 7.8735E+02
0.2800 4.0000 3.7200 1.2784E+03 1.8542E+02 1.2784E+03 9.9751E+02 1.4963E+02 7.5801E+02
0.2800 4.0000 3.7200 1.2330E+03 1.8067E+02 1.2330E+03 9.5713E+02 1.4357E+02 7.2084E+02
0.2800 4.0000 3.7200 1.1782E+03 1.7494E+02 1.1782E+03 9.0853E+02 1.3628E+02 6.7627E+02
0.2800 4.0000 3.7200 1.1144E+03 1.6824E+02 1.1144E+03 8.5218E+02 1.2783E+02 6.2484E+02
0.2800 4.0000 3.7200 1.0422E+03 1.6061E+02 1.0422E+03 7.8858E+02 1.1829E+02 5.6719E+02
0.2800 4.0000 3.7200 9.6201E+02 1.5210E+02 9.6201E+02 7.1828E+02 1.0774E+02 5.0410E+02
0.2800 4.0000 3.7200 8.7451E+02 1.4282E+02 8.7451E+02 6.4189E+02 9.6284E+01 4.3649E+02
0.2800 4.0000 3.7200 7.8034E+02 1.3290E+02 7.8034E+02 5.6010E+02 8.4014E+01 3.6552E+02
0.2800 4.0000 3.7200 6.8024E+02 1.2245E+02 6.8024E+02 4.7372E+02 7.1058E+01 2.9258E+02
0.2800 4.0000 3.7200 5.7497E+02 1.1149E+02 5.7497E+02 3.8388E+02 5.7582E+01 2.1952E+02
0.2800 4.0000 3.7200 4.6531E+02 9.9732E+01 4.6531E+02 2.9221E+02 4.3832E+01 1.4888E+02
0.2800 4.0000 3.7200 3.5212E+02 8.6274E+01 3.5212E+02 2.0127E+02 3.0190E+01 8.4478E+01
0.2800 4.0000 3.7200 2.3625E+02 6.8950E+01 2.3625E+02 1.1543E+02 1.7314E+01 3.2557E+01
