# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.9690E+02 1.3533E+03 1.0599E+03 1.5899E+02 6.7336E+02
0.2800 4.0000 3.7200 1.3482E+03 1.9639E+02 1.3482E+03 1.0553E+03 1.5829E+02 6.6936E+02
0.2800 4.0000 3.7200 1.3328E+03 1.9489E+02 1.3328E+03 1.0414E+03 1.5620E+02 6.5740E+02
0.2800 4.0000 3.7200 1.3072E+03 1.9244E+02 1.3072E+03 1.0183E+03 1.5275E+02 6.3765E+02
0.2800 4.0000 3.7200 1.2717E+03 1.8908E+02 1.2717E+03 9.8633E+02 1.4795E+02 6.1038E+02
0.2800 4.0000 3.7200 1.2265E+03 1.8485E+02 1.2265E+03 9.4571E+02 1.4186E+02 5.7595E+02
0.2800 4.0000 3.7200 1.1720E+03 1.7977E+02 1.1720E+03 8.9681E+02 1.3452E+02 5.3486E+02
0.2800 4.0000 3.7200 1.1086E+03 1.7386E+02 1.1086E+03 8.4008E+02 1.2601E+02 4.8774E+02
0.2800 4.0000 3.7200 1.0367E+03 1.6717E+02 1.0367E+03 7.7601E+02 1.1640E+02 4.3535E+02
0.2800 4.0000 3.7200 9.5694E+02 1.5979E+02 9.5694E+02 7.0513E+02 1.0577E+02 3.7865E+02
0.2800 4.0000 3.7200 8.6990E+02 1.5189E+02 8.6990E+02 6.2801E+02 9.4201E+01 3.1876E+02
0.2800 4.0000 3.7200 7.7623E+02 1.4364E+02 7.7623E+02 5.4535E+02 8.1802E+01 2.5713E+02
0.2800 4.0000 3.7200 6.7666E+02 1.3514E+02 6.7666E+02 4.5809E+02 6.8714E+01 1.9554E+02
0.2800 4.0000 3.7200 5.7194E+02 1.2624E+02 5.7194E+02 3.6763E+02 5.5144E+01 1.3635E+02
0.2800 4.0000 3.7200 4.6286E+02 1.1624E+02 4.6286E+02 2.7610E+02 4.1415E+01 8.2687E+01
0.2800 4.0000 3.7200 3.5027E+02 1.0338E+02 3.5027E+02 1.8692E+02 2.8039E+01 3.8823E+01
0.2800 4.0000 3.7200 2.3500E+02 8.3970E+01 2.3500E+02 1.0561E+02 1.5842E+01 1.0192E+01
